3M
A.
Abbott
AbbVie
Accenture
Adobe
Advanced
AES
Aflac
Agilent
Air
Airbnb
Akamai
Albemarle
Alexandria
Align
Allegion
Alliant
Allstate
Alphabet
Alphabet
Altria
Amazon
Amcor
Ameren
American
American
American
American
American
Ameriprise
Ametek
Amgen
Amphenol
Analog
Aon
APA
Apollo
Apple
Applied
Aptiv
Arch
Archer
Arista
Arthur
Assurant
AT&T
Atmos
Autodesk
Automatic
AutoZone
AvalonBay
Avery
Axon
Baker
Ball
Bank
Baxter
Becton
Berkshire
Best
Bio-Techne
Biogen
BlackRock
Blackstone
"Block,"
BNY
Boeing
Booking
Boston
Bristol
Broadcom
Broadridge
Brown
Brown
Builders
Bunge
"BXP,"
C.H.
Cadence
Caesars
Camden
Campbell's
Capital
Cardinal
CarMax
Carnival
Carrier
Caterpillar
Cboe
CBRE
CDW
Cencora
Centene
CenterPoint
CF
Charles
Charles
Charter
Chevron
Chipotle
Chubb
Church
Cigna
Cincinnati
Cintas
Cisco
Citigroup
Citizens
Clorox
CME
CMS
Coca-Cola
Cognizant
Coinbase
Colgate-Palmolive
Comcast
Conagra
ConocoPhillips
Consolidated
Constellation
Constellation
Cooper
Copart
Corning
Corpay
Corteva
CoStar
Costco
Coterra
CrowdStrike
Crown
CSX
Cummins
CVS
Danaher
Darden
Datadog
DaVita
Dayforce
Deckers
Deere
Dell
Delta
Devon
Dexcom
Diamondback
Digital
Dollar
Dollar
Dominion
Domino's
DoorDash
Dover
Dow
D.
DTE
Duke
DuPont
Eastman
Eaton
eBay
Ecolab
Edison
Edwards
Electronic
Elevance
Emerson
Enphase
Entergy
EOG
EPAM
EQT
Equifax
Equinix
Equity
Erie
Essex
Lauder
Everest
Evergy
Eversource
Exelon
Expand
Expedia
Expeditors
Extra
ExxonMobil
"F5,"
FactSet
Fair
Fastenal
Federal
FedEx
Fidelity
Fifth
First
FirstEnergy
Fiserv
Ford
Fortinet
Fortive
Fox
Fox
Franklin
Freeport-McMoRan
Garmin
Gartner
GE
GE
GE
Gen
Generac
General
General
General
Genuine
Gilead
Global
Globe
GoDaddy
Goldman
Halliburton
Hartford
Hasbro
HCA
Healthpeak
Henry
Hershey
Hewlett
Hilton
Hologic
Home
Honeywell
Hormel
Host
Howmet
HP
Hubbell
Humana
Huntington
Huntington
IBM
IDEX
Idexx
Illinois
Incyte
Ingersoll
Insulet
Intel
Intercontinental
International
International
Interpublic
Intuit
Intuitive
Invesco
Invitation
IQVIA
Iron
J.B.
Jabil
Jack
Jacobs
Johnson
Johnson
JPMorgan
Kellanova
Kenvue
Keurig
KeyCorp
Keysight
Kimberly-Clark
Kimco
Kinder
KKR
KLA
Kraft
Kroger
L3Harris
Labcorp
Lam
Lamb
Las
Leidos
Lennar
Lennox
Lilly
Linde
Live
LKQ
Lockheed
Loews
Lowe's
Lululemon
LyondellBasell
M&T
Marathon
MarketAxess
Marriott
Marsh
Martin
Masco
Mastercard
Match
McCormick
McDonald's
McKesson
Medtronic
Merck
Meta
MetLife
Mettler
MGM
Microchip
Micron
Microsoft
Mid-America
Moderna
Mohawk
Molina
Molson
Mondelez
Monolithic
Monster
Moody's
Morgan
Mosaic
Motorola
MSCI
"Nasdaq,"
NetApp
Netflix
Newmont
News
NextEra
"Nike,"
NiSource
Nordson
Norfolk
Northern
Northrop
Norwegian
NRG
Nucor
Nvidia
"NVR,"
NXP
O’Reilly
Occidental
Old
Omnicom
ON
Oneok
Oracle
Otis
Paccar
Packaging
Palantir
Palo
Paramount
Parker
Paychex
Paycom
PayPal
Pentair
PepsiCo
Pfizer
PG&E
Philip
Phillips
Pinnacle
PNC
Pool
PPG
PPL
Principal
Procter
Progressive
Prologis
Prudential
Public
PTC
Public
PulteGroup
Quanta
Qualcomm
Quest
Ralph
Raymond
RTX
Realty
Regency
Regeneron
Regions
Republic
ResMed
Revvity
Rockwell
"Rollins,"
Roper
Ross
Royal
S&P
Salesforce
SBA
Schlumberger
Seagate
Sempra
ServiceNow
Sherwin-Williams
Simon
Skyworks
J.M.
Smurfit
Snap-on
Solventum
Southern
Southwest
Stanley
Starbucks
State
Steel
Steris
Stryker
Supermicro
Synchrony
Synopsys
Sysco
T-Mobile
T.
Take-Two
"Tapestry,"
Targa
Target
TE
Teledyne
Teradyne
"Tesla,"
Texas
Texas
Textron
Thermo
TJX
TKO
Trade
Tractor
Trane
TransDigm
Travelers
Trimble
Truist
Tyler
Tyson
U.S.
Uber
"UDR,"
Ulta
Union
United
United
United
UnitedHealth
Universal
Valero
Ventas
Veralto
Verisign
Verisk
Verizon
Vertex
Viatris
Vici
Visa
Vistra
Vulcan
W.
W.
Wabtec
Walgreens
Walmart
Walt
Warner
Waste
Waters
WEC
Wells
Welltower
West
Western
Weyerhaeuser
"Williams-Sonoma,"
Williams
Willis
"Workday,"
Wynn
Xcel
Xylem
Yum!
Zebra
Zimmer
Zoetis
